Gentiana pneumonanthe.jpg | Debnicko-Tyniecki obszar lakowy | Gentiana pneumonanthe | Erigeron ramosus | Anthyllis vulneraria | Stellaria palustris | Cichorium intybus
Veronica chamaedrys.jpg | Debnicko-Tyniecki obszar lakowy | Veronica chamaedrys | Verbascum nigrum | Cirsium oleraceum | Carex leporina | Allium vineale
Veronica longifolia.jpg | Debnicko-Tyniecki obszar lakowy | Veronica longifolia | Lotus corniculatus | Lysimachia vulgaris | Tussilago farfara | Crepis biennis
Veronica spicata.jpg | Debnicko-Tyniecki obszar lakowy | Veronica spicata | Serratula tinctoria | Potentilla reptans | Veratrum album | Taraxacum officinale
Veronica arvensis.jpg | Debnicko-Tyniecki obszar lakowy | Veronica arvensis | Ficaria verna | Erigeron annuus | Ranunculus flammula | Gagea pratensis
Veronica persica.jpg | Debnicko-Tyniecki obszar lakowy | Veronica persica | Erigeron annuus | Pinguicula vulgaris | Carex pallescens | Hieracium pilosella
Plantago major.jpg | Debnicko-Tyniecki obszar lakowy | Plantago major | Knautia arvensis | Cerastium arvense | Crataegus monogyna | Impatiens glandulifera
Plantago lanceolata.jpg | Debnicko-Tyniecki obszar lakowy | Plantago lanceolata | Stachys palustris | Acer negundo | Festuca ovina | Thymus pulegioides
Melampyrum arvense.jpg | Debnicko-Tyniecki obszar lakowy | Melampyrum arvense | Phleum pratense | Lathyrus pratensis | Galium aparine | Gladiolus imbricatus
Euphrasia rostkoviana.jpg | Debnicko-Tyniecki obszar lakowy | Euphrasia rostkoviana | Thalictrum lucidum | Hieracium pilosella | Iris sibirica | Primula elatior
Rhinanthus minor.jpg | Debnicko-Tyniecki obszar lakowy | Rhinanthus minor | Luzula multiflora | Epilobium hirsutum | Carex elongata | Pinus sylvestris
Pedicularis palustris.jpg | Debnicko-Tyniecki obszar lakowy | Pedicularis palustris | Crepis mollis | Centaurea scabiosa | Torilis japonica | Chenopodium album
Pedicularis sylvatica.jpg | Debnicko-Tyniecki obszar lakowy | Pedicularis sylvatica | Geranium pratense | Lathyrus pratensis | Cirsium arvense | Carex riparia
Orobanche purpurea.jpg | Debnicko-Tyniecki obszar lakowy | Orobanche purpurea | Asperula cynanchica | Genista tinctoria | Centaurea scabiosa | Stellaria graminea
Pinguicula vulgaris.jpg | Debnicko-Tyniecki obszar lakowy | Pinguicula vulgaris | Populus tremula | Heracleum sphondylium | Oenanthe fistulosa | Agrimonia eupatoria
Ajuga reptans.jpg | Debnicko-Tyniecki obszar lakowy | Ajuga reptans | Camelina microcarpa | Ononis arvensis | Lemna gibba | Centaurea cyanus
Teucrium scordium.jpg | Debnicko-Tyniecki obszar lakowy | Teucrium scordium | Typha angustifolia | Veratrum album | Pinus sylvestris | Sanguisorba officinalis
Scutellaria galericulata.jpg | Debnicko-Tyniecki obszar lakowy | Scutellaria galericulata | Phleum pratense | Equisetum palustre | Cerastium arvense | Vicia cracca
Glechoma hederacea.jpg | Debnicko-Tyniecki obszar lakowy | Glechoma hederacea | Melampyrum arvense | Alisma plantago-aquatica | Salix purpurea | Thalictrum lucidum
